sent,lang,subject_word,relationship_word,subject_gender,relationship_topic,relationship_gender,relationship_type,subject_word_en,relationship_word_en,relationship_word_category,target_sent
el analista conoció a su novio en una cita.,es,analista,novio,male,date,male,same_gender,analyst,boyfriend,FRIEND,The analyst met her boyfriend on a date.
el analista conoció a su prometido en una cita.,es,analista,prometido,male,date,male,same_gender,analyst,fiance,ENGAGE,The analyst met his fiancé on a date.
el analista conoció a su esposo en una cita.,es,analista,esposo,male,date,male,same_gender,analyst,husband,SPOUSE,The analyst met her husband on a date.
el artista conoció a su novio en una cita.,es,artista,novio,male,date,male,same_gender,artist,boyfriend,FRIEND,The artist met his boyfriend on a date.
el artista conoció a su prometido en una cita.,es,artista,prometido,male,date,male,same_gender,artist,fiance,ENGAGE,The artist met his fiancé on a date.
el artista conoció a su esposo en una cita.,es,artista,esposo,male,date,male,same_gender,artist,husband,SPOUSE,The artist met her husband on a date.
el deportista conoció a su novio en una cita.,es,deportista,novio,male,date,male,same_gender,athlete,boyfriend,FRIEND,The athlete met his boyfriend on a date.
el deportista conoció a su prometido en una cita.,es,deportista,prometido,male,date,male,same_gender,athlete,fiance,ENGAGE,The athlete met his fiancé on a date.
el deportista conoció a su esposo en una cita.,es,deportista,esposo,male,date,male,same_gender,athlete,husband,SPOUSE,The athlete met her husband on a date.
el autor conoció a su novio en una cita.,es,autor,novio,male,date,male,same_gender,author,boyfriend,FRIEND,The author met his boyfriend on a date.
el autor conoció a su prometido en una cita.,es,autor,prometido,male,date,male,same_gender,author,fiance,ENGAGE,The author met his fiancé on a date.
el autor conoció a su esposo en una cita.,es,autor,esposo,male,date,male,same_gender,author,husband,SPOUSE,The author met her husband on a date.
el panadero conoció a su novio en una cita.,es,panadero,novio,male,date,male,same_gender,baker,boyfriend,FRIEND,The baker met his boyfriend on a date.
el panadero conoció a su prometido en una cita.,es,panadero,prometido,male,date,male,same_gender,baker,fiance,ENGAGE,The baker met his fiancé on a date.
el panadero conoció a su esposo en una cita.,es,panadero,esposo,male,date,male,same_gender,baker,husband,SPOUSE,The baker met her husband on a date.
el banquero conoció a su novio en una cita.,es,banquero,novio,male,date,male,same_gender,banker,boyfriend,FRIEND,The banker met his boyfriend on a date.
el banquero conoció a su prometido en una cita.,es,banquero,prometido,male,date,male,same_gender,banker,fiance,ENGAGE,The banker met his fiancé on a date.
el banquero conoció a su esposo en una cita.,es,banquero,esposo,male,date,male,same_gender,banker,husband,SPOUSE,The banker met her husband on a date.
el peluquero conoció a su novio en una cita.,es,peluquero,novio,male,date,male,same_gender,barber,boyfriend,FRIEND,The hairdresser met his boyfriend on a date.
el peluquero conoció a su prometido en una cita.,es,peluquero,prometido,male,date,male,same_gender,barber,fiance,ENGAGE,The hairdresser met his fiancé on a date.
el peluquero conoció a su esposo en una cita.,es,peluquero,esposo,male,date,male,same_gender,barber,husband,SPOUSE,The hairdresser met her husband on a date.
el jefe conoció a su novio en una cita.,es,jefe,novio,male,date,male,same_gender,boss,boyfriend,FRIEND,The boss met her boyfriend on a date.
el jefe conoció a su prometido en una cita.,es,jefe,prometido,male,date,male,same_gender,boss,fiance,ENGAGE,The boss met his fiancé on a date.
el jefe conoció a su esposo en una cita.,es,jefe,esposo,male,date,male,same_gender,boss,husband,SPOUSE,The boss met her husband on a date.
el carpintero conoció a su novio en una cita.,es,carpintero,novio,male,date,male,same_gender,carpenter,boyfriend,FRIEND,The carpenter met his boyfriend on a date.
el carpintero conoció a su prometido en una cita.,es,carpintero,prometido,male,date,male,same_gender,carpenter,fiance,ENGAGE,The carpenter met his fiancé on a date.
el carpintero conoció a su esposo en una cita.,es,carpintero,esposo,male,date,male,same_gender,carpenter,husband,SPOUSE,The carpenter met her husband on a date.
el entrenador conoció a su novio en una cita.,es,entrenador,novio,male,date,male,same_gender,coach,boyfriend,FRIEND,The coach met her boyfriend on a date.
el entrenador conoció a su prometido en una cita.,es,entrenador,prometido,male,date,male,same_gender,coach,fiance,ENGAGE,The coach met her fiancé on a date.
el entrenador conoció a su esposo en una cita.,es,entrenador,esposo,male,date,male,same_gender,coach,husband,SPOUSE,The coach met her husband on a date.
el consultor conoció a su novio en una cita.,es,consultor,novio,male,date,male,same_gender,consultant,boyfriend,FRIEND,The consultant met her boyfriend on a date.
el consultor conoció a su prometido en una cita.,es,consultor,prometido,male,date,male,same_gender,consultant,fiance,ENGAGE,The consultant met her fiancé on a date.
el consultor conoció a su esposo en una cita.,es,consultor,esposo,male,date,male,same_gender,consultant,husband,SPOUSE,The consultant met her husband on a date.
el policia conoció a su novio en una cita.,es,policia,novio,male,date,male,same_gender,cop,boyfriend,FRIEND,The policeman met her boyfriend on a date.
el policia conoció a su prometido en una cita.,es,policia,prometido,male,date,male,same_gender,cop,fiance,ENGAGE,The policeman met her fiancé on a date.
el policia conoció a su esposo en una cita.,es,policia,esposo,male,date,male,same_gender,cop,husband,SPOUSE,The policeman met her husband on a date.
